Title,Link,Snippet,Summary,Info,Processed,Query
El mezcal como patrimonio social: de indicaciones geográficas genéricas a denominaciones de origen regionales,https://www.redalyc.org/journal/4656/465655178022/465655178022.pdf,… productoras de mezcal proponemos pensar en Denominaciones de Origen de carácter … elaborar mezcal. Una manera de lograrlo es mediante la definición de las categorías de mezcal …,"JJH López - Em Questão, 2018 - redalyc.org","{'summary': 'JJH López - Em Questão, 2018 - redalyc.org', 'authors': [{'name': 'JJH López', 'link': 'https://scholar.google.com/citations?user=xlZ6sq8AAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=xlZ6sq8AAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'xlZ6sq8AAAAJ'}]}",2022-03-17 18:15:24 UTC,mezcal denominacion de origen
Manual para la estandarización de los procesos de producción del mezcal guerrerense,https://ciatej.repositorioinstitucional.mx/jspui/handle/1023/569,"… del mezcal, generándose mayor competencia en su venta entre los diferentes estados productores de mezcal. Actualmente se considera que el éxito comercial del mezcal de Guerrero, …","MR Kirchmayr, M Arellano-Plaza… - … AC México. pp, 2014 - ciatej.repositorioinstitucional.mx","{'summary': 'MR Kirchmayr, M Arellano-Plaza… - … AC México. pp, 2014 - ciatej.repositorioinstitucional.mx'}",2022-03-17 18:15:24 UTC,mezcal denominacion de origen
"… las condiciones geográficas y de producción del destilado de agave de Zumpahuacán, Estado de México para la obtención de la denominación de origen de mezcal.",http://ri.uaemex.mx/handle/20.500.11799/40681,"… entorno del mezcal, así mismo la denominación de origen mezcal y las repercusiones de la exclusión de productores que no cuentan con dicha denominación, en este sentido nuestro …",RI Montes Vásquez - 2014 - ri.uaemex.mx,{'summary': 'RI Montes Vásquez - 2014 - ri.uaemex.mx'},2022-03-17 18:15:24 UTC,mezcal denominacion de origen
Compuestos volátiles en el mezcal,https://www.redalyc.org/pdf/620/62060106.pdf,"… importante entre el mezcal y el tequila es su procesamiento, … cuentan con Denominación de Origen para el mezcal están … de variabilidad en la elaboración de mezcal en cada región. …","JA Molina-Guerrero, JE Botello-Álvarez… - Revista Mexicana de …, 2007 - redalyc.org","{'summary': 'JA Molina-Guerrero, JE Botello-Álvarez… - Revista Mexicana de …, 2007 - redalyc.org', 'authors': [{'name': 'JE Botello-Álvarez', 'link': 'https://scholar.google.com/citations?user=vtzhchIAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=vtzhchIAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'vtzhchIAAAAJ'}]}",2022-03-17 18:15:24 UTC,mezcal denominacion de origen
Disputas de poder en la denominación de origen mezcal﻿,http://aedt.chapingo.edu.mx/handle/20.500.12098/858,"… Actualmente, los mezcales tienen un nicho de mercado donde … Este trabajo investiga la Denominación de Origen Mezcal, una … de una Denominación de Origen y los grupos de poder …",DR Domínguez Arista - 2021 - aedt.chapingo.edu.mx,{'summary': 'DR Domínguez Arista - 2021 - aedt.chapingo.edu.mx'},2022-03-17 18:15:24 UTC,mezcal denominacion de origen
Los destilados de agave en México y su denominación de origen,http://revistas.unam.mx/index.php/cns/article/view/12111,"… En resumen, hay más mezcales fuera que dentro de la denominación de origen. La denominación indica que hay dos tipos de mezcal: el 100% agave y el que puede contener hasta 40…","LA Carrillo Trueba - Ciencias, 2007 - revistas.unam.mx","{'summary': 'LA Carrillo Trueba - Ciencias, 2007 - revistas.unam.mx'}",2022-03-17 18:15:24 UTC,mezcal denominacion de origen
"Denominaciones de origen, cooperación, innovación y desarrollo local. El caso del mezcal michoacano",http://bibliotecavirtual.dgb.umich.mx:8083/xmlui/handle/DGB_UMICH/4994,"… a la revalorización y protección del Mezcal michoacano, con base en el enfoque de Sistemas Agroalimentarios Localizados y la premisa de que las Denominaciones de Origen (DO) …",V Arreola Pompa - 2015 - bibliotecavirtual.dgb.umich.mx,{'summary': 'V Arreola Pompa - 2015 - bibliotecavirtual.dgb.umich.mx'},2022-03-17 18:15:24 UTC,mezcal denominacion de origen
Impacto del mezcal michoacano y su productividad con la denominación de origen,https://www.researchgate.net/profile/Juan-Flores-Preciado/publication/287206430_Investigacion_en_las_ciencias_de_la_gestion_innovacion_competitividad_y_tecnologias_de_informacion/links/5673481308ae04d9b099ce70/Investigacion-en-las-ciencias-de-la-gestion-innovacion-competitividad-y-tecnologias-de-informacion.pdf#page=353,"… En México, el mezcal es una bebida alcohólica hecha de la planta de agave que se … la denominación de origen, tratando de dar un impulso económico a la industria del agave-mezcal …","VH Silva, GP Morelos - Investigación en las ciencias de la gestión …, 2015 - researchgate.net","{'summary': 'VH Silva, GP Morelos - Investigación en las ciencias de la gestión …, 2015 - researchgate.net'}",2022-03-17 18:15:24 UTC,mezcal denominacion de origen
La industria informal del mezcal bacanora,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-45572009000100006,"… Así como al bacanora en Sonora, al mezcal se le conoce como … Sin embargo, la Denominación de Origen Mezcal fue … estado de Chihuahua, o bien, el mezcal de lechuguilla, como se le …","V Salazar Solano, A Mungaray Lagarda - … sociales (Hermosillo, Son.), 2009 - scielo.org.mx","{'summary': 'V Salazar Solano, A Mungaray Lagarda - … sociales (Hermosillo, Son.), 2009 - scielo.org.mx', 'authors': [{'name': 'V Salazar Solano', 'link': 'https://scholar.google.com/citations?user=0r8Dkz4AAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=0r8Dkz4AAAAJ&engine=google_scholar_author&hl=es', 'author_id': '0r8Dkz4AAAAJ'}, {'name': 'A Mungaray Lagarda', 'link': 'https://scholar.google.com/citations?user=TnrV2xUAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=TnrV2xUAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'TnrV2xUAAAAJ'}]}",2022-03-17 18:15:24 UTC,mezcal denominacion de origen
"Las tensiones en la denominación de origen del mezcal en Oaxaca, México",https://www.researchgate.net/profile/Maria-De-Lourdes-Flores/publication/358458610_Las_tensiones_denominacion_de_origen_del_mezcal_Oaxaca/links/6203354482638c2de5205271/Las-tensiones-denominacion-de-origen-del-mezcal-Oaxaca.pdf,"… sobre la denominación de origen (DO) del mezcal en Oaxaca … : La cadena productiva del mezcal en los estados de Oaxaca y … Qué pasa con los que no cuentan con esta denominación, …","MLF López, ES Osorio, AV Elorza, JP Núñez - Tlamati, 2018 - researchgate.net","{'summary': 'MLF López, ES Osorio, AV Elorza, JP Núñez - Tlamati, 2018 - researchgate.net', 'authors': [{'name': 'MLF López', 'link': 'https://scholar.google.com/citations?user=P1Upr84AAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=P1Upr84AAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'P1Upr84AAAAJ'}, {'name': 'ES Osorio', 'link': 'https://scholar.google.com/citations?user=Ogoiy1YAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=Ogoiy1YAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'Ogoiy1YAAAAJ'}, {'name': 'AV Elorza', 'link': 'https://scholar.google.com/citations?user=PZ8vorAAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=PZ8vorAAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'PZ8vorAAAAAJ'}]}",2022-03-17 18:15:24 UTC,mezcal denominacion de origen
