Title,Link,Snippet,Summary,Info,Processed,Query
Estrategias de producción y mercadotecnia del mezcal en Oaxaca,https://www.redalyc.org/pdf/325/32514811.pdf,"… y competitividad territorial son exigencias del modelo de desarrollo vigente, en particular, en la Región del Mezcal , esta tendencia no puede considerarse dominante; sin em- …","JA Bautista, ET Melchor - El Cotidiano, 2008 - redalyc.org","{'summary': 'JA Bautista, ET Melchor - El Cotidiano, 2008 - redalyc.org'}",2022-03-17 10:37:54 UTC,mezcal desarrollo oaxaca
"La disminución de la producción artesanal de mezcal en la Región del mezcal de Oaxaca, México",http://www.scielo.org.mx/scielo.php?pid=S2007-09342015000600012&script=sci_abstract&tlng=pt,"… of mezcal in the ""region of mezcal"" (RM) of Oaxaca we are … associated with the demand for mezcal maguey Angustifolia Haw by … sobre el desarrollo agroindustrial del mezcal en Oaxaca. …","JA Bautista, S Orozco Cirilo… - Revista mexicana de …, 2015 - scielo.org.mx","{'summary': 'JA Bautista, S Orozco Cirilo… - Revista mexicana de …, 2015 - scielo.org.mx'}",2022-03-17 10:37:54 UTC,mezcal desarrollo oaxaca
"Sustentabilidad y agricultura en la"" región del mezcal"" de Oaxaca",http://www.scielo.org.mx/scielo.php?pid=S2007-09342012000100001&script=sci_arttext,"Este estudio analiza los sistemas agrícolas en laderas y en valles, desarrollados por productores campesinos de agave mezcalero Angustifolia Haw. Se realizó en la ""región del mezcal…","JA Bautista, MA Smit - Revista mexicana de ciencias agrícolas, 2012 - scielo.org.mx","{'summary': 'JA Bautista, MA Smit - Revista mexicana de ciencias agrícolas, 2012 - scielo.org.mx', 'authors': [{'name': 'MA Smit', 'link': 'https://scholar.google.com/citations?user=C7PhklgAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=C7PhklgAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'C7PhklgAAAAJ'}]}",2022-03-17 10:37:54 UTC,mezcal desarrollo oaxaca
"Agricultura y pluriactividad de los pequeños productores de agave en la región del mezcal, Oaxaca, México",http://www.scielo.org.mx/scielo.php?pid=S0568-25172008000400007&script=sci_arttext,… Haw) in the región of mezcal from Oaxaca. To identify the role of agriculture in the social … en la región del mezcal en Oaxaca. México. Instituto nacional de desarrollo social–Colegio de …,"JA Bautista, J Ramírez Juarez - Agricultura técnica en México, 2008 - scielo.org.mx","{'summary': 'JA Bautista, J Ramírez Juarez - Agricultura técnica en México, 2008 - scielo.org.mx'}",2022-03-17 10:37:54 UTC,mezcal desarrollo oaxaca
"Impacto de la producción del mezcal en el desarrollo económico de la región de Ocotepec, Tlacolula, Oaxaca",https://www.ecorfan.org/bolivia/researchjournals/Desarrollo_Economico/vol3num6/Revista_de_Desarrollo_Econ%C3%B3mico_V3_N6.pdf#page=21,"… disminución de la producción, precio y mercado actual del mezcal. Asimismo, se revisaron fuentes de información bibliográfica sobre el desarrollo agroindustrial del mezcal en Oaxaca. …","E COLMENARES-OLIVERA, I FLORES-OLIVERA… - Desarrollo …, 2016 - ecorfan.org","{'summary': 'E COLMENARES-OLIVERA, I FLORES-OLIVERA… - Desarrollo …, 2016 - ecorfan.org', 'authors': [{'name': 'E COLMENARES-OLIVERA', 'link': 'https://scholar.google.com/citations?user=o9gaoOEAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=o9gaoOEAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'o9gaoOEAAAAJ'}]}",2022-03-17 10:37:54 UTC,mezcal desarrollo oaxaca
"EL MEZCAL DE OAXACA, UN CLUSTER NATURALEN ETAPA DE CRECIMIENTO",https://www.redalyc.org/journal/141/14152127009/movil/,"… Para determinar el nivel de desarrollo del cluster del mezcal, fue necesario construir con … cual, identificó de acuerdo con su percepción el nivel de desarrollo del cluster del mezcal. …","UGC Avilés, AR Martínez, RDD García… - Revista Mexicana de …, 2017 - redalyc.org","{'summary': 'UGC Avilés, AR Martínez, RDD García… - Revista Mexicana de …, 2017 - redalyc.org', 'authors': [{'name': 'UGC Avilés', 'link': 'https://scholar.google.com/citations?user=8JArxS4AAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=8JArxS4AAAAJ&engine=google_scholar_author&hl=es', 'author_id': '8JArxS4AAAAJ'}]}",2022-03-17 10:37:54 UTC,mezcal desarrollo oaxaca
Factores de valoración en consumidores de mezcal en Oaxaca,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2395-91692019000200109,"… consumidores de mezcal asistentes a la Feria de Mezcal 2018, en Oaxaca; … mezcal. Se estratificó a los consumidores en función de su disposición a pagar un sobreprecio por el mezcal…","AI Barrera-Rodríguez, V Cuevas-Reyes… - … y desarrollo regional, 2019 - scielo.org.mx","{'summary': 'AI Barrera-Rodríguez, V Cuevas-Reyes… - … y desarrollo regional, 2019 - scielo.org.mx', 'authors': [{'name': 'V Cuevas-Reyes', 'link': 'https://scholar.google.com/citations?user=826iqgIAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=826iqgIAAAAJ&engine=google_scholar_author&hl=es', 'author_id': '826iqgIAAAAJ'}]}",2022-03-17 10:37:54 UTC,mezcal desarrollo oaxaca
Diagnóstico de la situación del agave-mezcal y opciones de desarrollo local en comunidades indígenas de Oaxaca,http://ru.iiec.unam.mx/3385/,… mezcal artesanal en el estado de Oaxaca. Las condiciones de desigualdad y pobreza que imperan en el estado de Oaxaca … una mejor productividad y desarrollo económico y laboral. …,"JY López Cruz, GA Martínez Gutiérrez… - 2016 - ru.iiec.unam.mx","{'summary': 'JY López Cruz, GA Martínez Gutiérrez… - 2016 - ru.iiec.unam.mx'}",2022-03-17 10:37:54 UTC,mezcal desarrollo oaxaca
"Efectos socioeconómicos y ambientales de la sobreproducción de maguey mezcalero en la región del mezcal de Oaxaca, México",http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-54722017000400635,El objetivo fue analizar los efectos socioeconómicos y ambientales generados por la sobreproducción de maguey mezcalero (Agave angustifolia Haw) en la Región del Mezcal de …,"JA Bautista, AA Antonio-Jose… - … , sociedad y desarrollo, 2017 - scielo.org.mx","{'summary': 'JA Bautista, AA Antonio-Jose… - … , sociedad y desarrollo, 2017 - scielo.org.mx'}",2022-03-17 10:37:54 UTC,mezcal desarrollo oaxaca
"Complejidad y trayectoria del sistema productivo mezcal en la sierra sur de Oaxaca, México",https://www.redalyc.org/journal/280/28069360007/28069360007.pdf,"… Este trabajo se desarrolló a partir de una revisión documental, observación directa y entrevistas con actores clave de los municipios de Miahuatlán, San Pablo Coatlán, San José …","JH Camacho-Vera, P Durán-Ferman… - Revista de Ciencias …, 2021 - redalyc.org","{'summary': 'JH Camacho-Vera, P Durán-Ferman… - Revista de Ciencias …, 2021 - redalyc.org', 'authors': [{'name': 'JH Camacho-Vera', 'link': 'https://scholar.google.com/citations?user=2qNQxk8AAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=2qNQxk8AAAAJ&engine=google_scholar_author&hl=es', 'author_id': '2qNQxk8AAAAJ'}]}",2022-03-17 10:37:54 UTC,mezcal desarrollo oaxaca
"EL MEZCAL ARTESANAL, UN ELEMENTO CLAVE PARA EL DESARROLLO RURAL EN MENGOLÍ DE MORELOS, OAXACA",https://www.eumed.net/actas/19/economia-social/6-el-mezcal-artesanal-un-elemento-clave-para-el-desarrollo-rural-en-mengoli-de-morelos-oaxaca.pdf,"… que ha desencadenado un desarrollo rural. Mediante la … productores de mezcal de Mengolí de Morelos, Oaxaca, en … familia han encontrado en el mezcal tradicional una oportunidad de …",MSR Cortés - 2019 - eumed.net,{'summary': 'MSR Cortés - 2019 - eumed.net'},2022-03-17 10:37:54 UTC,mezcal desarrollo oaxaca
"… DE DESIGUALDAD, EMPOBRECIMIENTO Y DESARROLLO SOCIAL EN DOS COMUNIDADES PRODUCTORAS DE MEZCAL ARTESANAL DE OAXACA",http://ru.iiec.unam.mx/4738/,"… de mezcal juega un papel fundamental para el desarrollo económico del estado de Oaxaca, en … El consumo de mezcal en los últimos años ha venido incrementándo, por lo que se ha …","JY López Cruz, D Ortiz Hernández, Y Donají… - 2019 - ru.iiec.unam.mx","{'summary': 'JY López Cruz, D Ortiz Hernández, Y Donají… - 2019 - ru.iiec.unam.mx'}",2022-03-17 10:37:54 UTC,mezcal desarrollo oaxaca
Factores determinantes en el Desarrollo del Cluster “Mezcal” en los Valles Centrales de Oaxaca,https://www.academia.edu/download/36520693/FACTORES_DETERMINANTES_DEL_CLUSTER_DEL_MEZCAL_EN_OAXACA.pdf,"… , el Mezcal ha representado para Oaxaca una industria de … , formalizar y desarrollar el cluster del Mezcal, dando por hecho, … y desempeño del cluster del mezcal, el propósito es analizar …","MCUGC Avilés, MCRDD García, MCRAI Melissa… - academia.edu","{'summary': 'MCUGC Avilés, MCRDD García, MCRAI Melissa… - academia.edu', 'authors': [{'name': 'MCUGC Avilés', 'link': 'https://scholar.google.com/citations?user=8JArxS4AAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=8JArxS4AAAAJ&engine=google_scholar_author&hl=es', 'author_id': '8JArxS4AAAAJ'}]}",2022-03-17 10:37:54 UTC,mezcal desarrollo oaxaca
"… DE LA REGIÓN MIXTECA DE OAXACA/DIAGNOSIS OF THE MAGUEY-MEZCAL CHAIN, IN THREE JOINT VILLAGES OF THE MIXTECA REGION OF OAXACA",https://revistas.unica.cu/index.php/uciencia/article/view/1945,"… se desarrolló como un diagnóstico socio-ambiental, económico y productivo de la cadena agave – mezcal … Mezcal en el estado de Oaxaca y no para todo el estado en sí. El uso de una …","KMY Bazán, CE Tinoco, GAM Gutiérrez - Universidad & Ciencia, 2021 - revistas.unica.cu","{'summary': 'KMY Bazán, CE Tinoco, GAM Gutiérrez - Universidad & Ciencia, 2021 - revistas.unica.cu'}",2022-03-17 10:37:54 UTC,mezcal desarrollo oaxaca
PRÁCTICAS DE INNOVACIÓN EN LA INDUSTRIA DE MEZCAL ARTESANAL DEL ESTADO DE OAXACA PARA EL DESARROLLO FUTURO DE UNA …,http://132.248.164.227/congreso/docs/xxiv/docs/4.08.pdf,… mezcal artesanal en el Estado de Oaxaca como paso previo a la implementación de prácticas de desarrollo … industria productora de mezcal artesanal del Estado de Oaxaca no contaba …,CLG Fernández - 132.248.164.227,{'summary': 'CLG Fernández - 132.248.164.227'},2022-03-17 10:37:54 UTC,mezcal desarrollo oaxaca
