Title,Link,Snippet,Summary,Info,Processed,Query
"La disminución de la producción artesanal de mezcal en la Región del mezcal de Oaxaca, México",http://www.scielo.org.mx/scielo.php?pid=S2007-09342015000600012&script=sci_abstract&tlng=pt,"… In past decades, the development of RM mezcal in Oaxaca was characterized for being handmade. In Matatlán, it was developed as a sideline to farming, keeping their technical and …","JA Bautista, S Orozco Cirilo… - Revista mexicana de …, 2015 - scielo.org.mx","{'summary': 'JA Bautista, S Orozco Cirilo… - Revista mexicana de …, 2015 - scielo.org.mx'}",2022-03-18 01:45:00 UTC,mezcal development oaxaca
"Commons, global markets and small-scale family enterprises: the case of mezcal production in Oaxaca, Mexico",https://link.springer.com/article/10.1007/s10460-021-10293-z,"… , the commoditization of mezcal in Oaxaca, Mexico, is an example of how global market integration might allow producer communities the opportunity to pursue rural development goals …","MG Lira, JP Robson, DJ Klooster - Agriculture and Human Values, 2022 - Springer","{'summary': 'MG Lira, JP Robson, DJ Klooster - Agriculture and Human Values, 2022 - Springer', 'authors': [{'name': 'JP Robson', 'link': 'https://scholar.google.com/citations?user=zVk3YZAAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=zVk3YZAAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'zVk3YZAAAAAJ'}]}",2022-03-18 01:45:00 UTC,mezcal development oaxaca
Factores de valoración en consumidores de mezcal en Oaxaca,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2395-91692019000200109,"… consumidores de mezcal asistentes a la Feria de Mezcal 2018, en Oaxaca; … mezcal. Se estratificó a los consumidores en función de su disposición a pagar un sobreprecio por el mezcal…","AI Barrera-Rodríguez, V Cuevas-Reyes… - … sociales. Revista de …, 2019 - scielo.org.mx","{'summary': 'AI Barrera-Rodríguez, V Cuevas-Reyes… - … sociales. Revista de …, 2019 - scielo.org.mx', 'authors': [{'name': 'V Cuevas-Reyes', 'link': 'https://scholar.google.com/citations?user=826iqgIAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=826iqgIAAAAJ&engine=google_scholar_author&hl=es', 'author_id': '826iqgIAAAAJ'}]}",2022-03-18 01:45:00 UTC,mezcal development oaxaca
"EL MEZCAL DE OAXACA, UN CLUSTER NATURALEN ETAPA DE CRECIMIENTO",https://www.redalyc.org/journal/141/14152127009/movil/,"… This article aims to analyze the influence of performance on the competitiveness of the cluster of mezcal of the Central Valleys Region in the state of Oaxaca, with the purpose of …","UGC Avilés, AR Martínez, RDD García… - Revista Mexicana de …, 2017 - redalyc.org","{'summary': 'UGC Avilés, AR Martínez, RDD García… - Revista Mexicana de …, 2017 - redalyc.org', 'authors': [{'name': 'UGC Avilés', 'link': 'https://scholar.google.com/citations?user=8JArxS4AAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=8JArxS4AAAAJ&engine=google_scholar_author&hl=es', 'author_id': '8JArxS4AAAAJ'}]}",2022-03-18 01:45:00 UTC,mezcal development oaxaca
"Artisanal Products and Land-Use Land-Cover Change in Indigenous Communities: The Case of Mezcal Production in Oaxaca, Mexico",https://www.mdpi.com/2073-445X/11/3/387,… on important past events and regulations linked to the historical development of mezcal in the community. Below we provide further details on the first two data collection methods. …,"MG Lira, IJ Davidson-Hunt, JP Robson - Land, 2022 - mdpi.com","{'summary': 'MG Lira, IJ Davidson-Hunt, JP Robson - Land, 2022 - mdpi.com', 'authors': [{'name': 'IJ Davidson-Hunt', 'link': 'https://scholar.google.com/citations?user=x5Sau-kAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=x5Sau-kAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'x5Sau-kAAAAJ'}, {'name': 'JP Robson', 'link': 'https://scholar.google.com/citations?user=zVk3YZAAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=zVk3YZAAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'zVk3YZAAAAAJ'}]}",2022-03-18 01:45:00 UTC,mezcal development oaxaca
"… de la producción artesanal de mezcal en la Región del mezcal de Oaxaca, México* The decline of craft production of mezcal in the Region of mezcal in Oaxaca …",https://pdfs.semanticscholar.org/7c90/a7f380847ececeb7eff6db66b37265ec6e45.pdf,"… In past decades, the development of RM mezcal in Oaxaca was characterized for being handmade. In Matatlán, it was developed as a sideline to farming, keeping their technical and …","JA Bautista, SO Cirilo, ET Melchor - pdfs.semanticscholar.org","{'summary': 'JA Bautista, SO Cirilo, ET Melchor - pdfs.semanticscholar.org'}",2022-03-18 01:45:00 UTC,mezcal development oaxaca
"EL MEZCAL ARTESANAL, UN ELEMENTO CLAVE PARA EL DESARROLLO RURAL EN MENGOLÍ DE MORELOS, OAXACA",https://www.eumed.net/actas/19/economia-social/6-el-mezcal-artesanal-un-elemento-clave-para-el-desarrollo-rural-en-mengoli-de-morelos-oaxaca.pdf,"… de la comunidad de Mengolí de Morelos, Oaxaca, quienes se encontraban en una situación económica precaria debido a que el mezcal no tenía el prestigio y la demanda que ha …",MSR Cortés - 2019 - eumed.net,{'summary': 'MSR Cortés - 2019 - eumed.net'},2022-03-18 01:45:00 UTC,mezcal development oaxaca
"Impacto de la producción del mezcal en el desarrollo económico de la región de Ocotepec, Tlacolula, Oaxaca",https://www.ecorfan.org/bolivia/researchjournals/Desarrollo_Economico/vol3num6/Revista_de_Desarrollo_Econ%C3%B3mico_V3_N6.pdf#page=21,"… for the development and commercialization of mezcal, which is obtained by the distillation of fermented juice, extracted from sugar in pineapple, and which for years has also occured in …","E COLMENARES-OLIVERA, I FLORES-OLIVERA… - Desarrollo …, 2016 - ecorfan.org","{'summary': 'E COLMENARES-OLIVERA, I FLORES-OLIVERA… - Desarrollo …, 2016 - ecorfan.org', 'authors': [{'name': 'E COLMENARES-OLIVERA', 'link': 'https://scholar.google.com/citations?user=o9gaoOEAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=o9gaoOEAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'o9gaoOEAAAAJ'}]}",2022-03-18 01:45:00 UTC,mezcal development oaxaca
"… GEOGRÁFICA PROTEGIDA, PARA EL MEZCAL TOBALÁ PROVENIENTE DE A. POTATORUM ZUCC., EN UNA MICROREGIÓN MARGINADA DE OAXACA, MÉXICO …",https://revistas.unica.cu/index.php/uciencia/article/view/1311/0,"… preliminares y necesarios para constituir una IG, para «Mezcal Tobalá a partir del Agave Potatorum Zucc», en la microrregión de Mixteca–Zapoteca (Mix–Za), de Oaxaca México …","CE Tinoco, GAM Gutiérrez, DLG Cruz - Universidad & Ciencia, 2019 - revistas.unica.cu","{'summary': 'CE Tinoco, GAM Gutiérrez, DLG Cruz - Universidad & Ciencia, 2019 - revistas.unica.cu'}",2022-03-18 01:45:00 UTC,mezcal development oaxaca
"Efectos socioeconómicos y ambientales de la sobreproducción de maguey mezcalero en la región del mezcal de Oaxaca, México",http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-54722017000400635,"… del Mezcal de Oaxaca por la expansión de su siembra y demanda en la producción, consumo y comercialización mundial del tequila. Con el enfoque de la multifuncionalidad de la …","JA Bautista, AA Antonio-Jose… - Agricultura, sociedad y …, 2017 - scielo.org.mx","{'summary': 'JA Bautista, AA Antonio-Jose… - Agricultura, sociedad y …, 2017 - scielo.org.mx'}",2022-03-18 01:45:00 UTC,mezcal development oaxaca
