Title,Link,Snippet,Summary,Info,Processed,Query
Appellation of origin status and economic development: a case study of the Mezcal industry,https://ageconsearch.umn.edu/record/93346/,"… Though the development of the mezcal market had come a long way, there were still many challenges the National Committee of Mezcal wanted to address in order to further help this …","CO Trejo-Pech, C Lopez-Reyna… - International Food …, 2010 - ageconsearch.umn.edu","{'summary': 'CO Trejo-Pech, C Lopez-Reyna… - International Food …, 2010 - ageconsearch.umn.edu', 'authors': [{'name': 'CO Trejo-Pech', 'link': 'https://scholar.google.com/citations?user=RNe3WWEAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=RNe3WWEAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'RNe3WWEAAAAJ'}]}",2022-03-18 01:39:12 UTC,mezcal development
"La disminución de la producción artesanal de mezcal en la Región del mezcal de Oaxaca, México",http://www.scielo.org.mx/scielo.php?pid=S2007-09342015000600012&script=sci_abstract&tlng=pt,"… In past decades, the development of RM mezcal in Oaxaca was characterized for being handmade. In Matatlán, it was developed as a sideline to farming, keeping their technical and …","JA Bautista, S Orozco Cirilo… - Revista mexicana de …, 2015 - scielo.org.mx","{'summary': 'JA Bautista, S Orozco Cirilo… - Revista mexicana de …, 2015 - scielo.org.mx'}",2022-03-18 01:39:12 UTC,mezcal development
Mezcal Agave microplantlets development in different substrates,https://www.actahort.org/books/865/865_35.htm,"… The mezcal-agave product system involves seven Mexican states included in the MEZCAL Guarantee of Origin: Oaxaca, Guerrero, San Luis Potosí, Zacatecas, Durango, Guanajuato …","A Medrano Valverde, D Orea Coria… - … on Acclimatization and …, 2008 - actahort.org","{'summary': 'A Medrano Valverde, D Orea Coria… - … on Acclimatization and …, 2008 - actahort.org'}",2022-03-18 01:39:12 UTC,mezcal development
"Divided spirits: Tequila, mezcal, and the politics of production",https://books.google.com/books?hl=es&lr=&id=_7owDwAAQBAJ&oi=fnd&pg=PR9&dq=mezcal+development&ots=G18PxaB_pI&sig=HpNy7prY-RstxDZgO8ykZ0Jrj6s,… and mezcal for generations. The consequences—for the quality and taste of tequila and mezcal… and a sustained commitment to addressing inequality and supporting rural development. …,S Bowen - 2015 - books.google.com,"{'summary': 'S Bowen - 2015 - books.google.com', 'authors': [{'name': 'S Bowen', 'link': 'https://scholar.google.com/citations?user=P0mLtJgAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=P0mLtJgAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'P0mLtJgAAAAJ'}]}",2022-03-18 01:39:12 UTC,mezcal development
Tequila and mezcal: Sensory attributes and sensory evaluation,https://www.sciencedirect.com/science/article/pii/B9780857090515500183,… and technological development regarding sensory properties of tequila and mezcal. … Research and development on mezcal is mainly developed through consultancy and the support of …,"S Villanueva-Rodriguez, H Escalona-Buendia - Alcoholic Beverages, 2012 - Elsevier","{'summary': 'S Villanueva-Rodriguez, H Escalona-Buendia - Alcoholic Beverages, 2012 - Elsevier', 'authors': [{'name': 'H Escalona-Buendia', 'link': 'https://scholar.google.com/citations?user=sL9exG4AAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=sL9exG4AAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'sL9exG4AAAAJ'}]}",2022-03-18 01:39:12 UTC,mezcal development
Desarrollo Turístico a partir del aprovechamiento de la Denominación de Origen del Mezcal. Caso de La Ruta del Mezcal en la localidad de San Francisco Etúcuaro …,http://ri.uaemex.mx/handle/20.500.11799/111242,"… of mezcal, as well as its proximity to important tourist-issuing markets, have become important tools for the development of … Michoacán, promoters of the Mezcal tourist route in this place; …","A Sánchez Valdés, M Castillo Nechar… - ri.uaemex.mx","{'summary': 'A Sánchez Valdés, M Castillo Nechar… - ri.uaemex.mx', 'authors': [{'name': 'A Sánchez Valdés', 'link': 'https://scholar.google.com/citations?user=nznthQYAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=nznthQYAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'nznthQYAAAAJ'}]}",2022-03-18 01:39:12 UTC,mezcal development
"Tequila, mezcal y cerveza: de México para el mundo",http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-54722008000200002,"… En la globalización la producción de tequila, mezcal y cerveza enfrenta un proceso de … y control de la venta del tequila y del mezcal. La cerveza, si bien ha alcanzado ventas mundiales, …","A Martínez-Gándara - Agricultura, sociedad y desarrollo, 2008 - scielo.org.mx","{'summary': 'A Martínez-Gándara - Agricultura, sociedad y desarrollo, 2008 - scielo.org.mx'}",2022-03-18 01:39:12 UTC,mezcal development
"… de la producción artesanal de mezcal en la Región del mezcal de Oaxaca, México* The decline of craft production of mezcal in the Region of mezcal in Oaxaca …",https://pdfs.semanticscholar.org/7c90/a7f380847ececeb7eff6db66b37265ec6e45.pdf,"… In past decades, the development of RM mezcal in Oaxaca was characterized for being handmade. In Matatlán, it was developed as a sideline to farming, keeping their technical and …","JA Bautista, SO Cirilo, ET Melchor - pdfs.semanticscholar.org","{'summary': 'JA Bautista, SO Cirilo, ET Melchor - pdfs.semanticscholar.org'}",2022-03-18 01:39:12 UTC,mezcal development
"Sarah Bowen: Divided spirits: tequila, mezcal, and the politics of production",https://link.springer.com/article/10.1007/s10460-016-9745-9,… DOs are touted for their use as a tool for rural development in both the Global North and the … in Mexico: tequila and mezcal. This book illustrates the development of the standards of …,"CJ Bardenhagen - Agriculture and Human Values, 2017 - Springer","{'summary': 'CJ Bardenhagen - Agriculture and Human Values, 2017 - Springer'}",2022-03-18 01:39:12 UTC,mezcal development
"Commons, global markets and small-scale family enterprises: the case of mezcal production in Oaxaca, Mexico",https://link.springer.com/article/10.1007/s10460-021-10293-z,… Mezcal and agave producers see the growing demand for mezcal as an economic development … It has created employment and development opportunities in a relatively impoverished …,"MG Lira, JP Robson, DJ Klooster - Agriculture and Human Values, 2022 - Springer","{'summary': 'MG Lira, JP Robson, DJ Klooster - Agriculture and Human Values, 2022 - Springer', 'authors': [{'name': 'JP Robson', 'link': 'https://scholar.google.com/citations?user=zVk3YZAAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=zVk3YZAAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'zVk3YZAAAAAJ'}]}",2022-03-18 01:39:12 UTC,mezcal development
