Title,Link,Snippet,Summary,Info,Processed,Query
"Agricultura y pluriactividad de los pequeños productores de agave en la región del mezcal, Oaxaca, México",http://www.scielo.org.mx/scielo.php?pid=S0568-25172008000400007&script=sci_arttext,… Haw) en la región del mezcal de Oaxaca. El objetivo fue identificar el papel de la … ingresos económicos en condiciones de pobreza y pluriactividad. Se sostiene que el medio rural en …,"JA Bautista, J Ramírez Juarez - Agricultura técnica en México, 2008 - scielo.org.mx","{'summary': 'JA Bautista, J Ramírez Juarez - Agricultura técnica en México, 2008 - scielo.org.mx'}",2022-03-17 11:12:18 UTC,mezcal pobreza oaxaca
"Sustentabilidad y agricultura en la"" región del mezcal"" de Oaxaca",http://www.scielo.org.mx/scielo.php?pid=S2007-09342012000100001&script=sci_arttext,"… Centrales del estado de Oaxaca, en el que se ubica la ""región del mezcal"" constituida por … Sostenibilidad y pobreza en las unidades socioeconómicas campesinas de la ""Región del …","JA Bautista, MA Smit - Revista mexicana de ciencias agrícolas, 2012 - scielo.org.mx","{'summary': 'JA Bautista, MA Smit - Revista mexicana de ciencias agrícolas, 2012 - scielo.org.mx', 'authors': [{'name': 'MA Smit', 'link': 'https://scholar.google.com/citations?user=C7PhklgAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=C7PhklgAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'C7PhklgAAAAJ'}]}",2022-03-17 11:12:18 UTC,mezcal pobreza oaxaca
"Efectos socioeconómicos y ambientales de la sobreproducción de maguey mezcalero en la región del mezcal de Oaxaca, México",http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-54722017000400635,… ) en la Región del Mezcal de Oaxaca por la expansión de su … agudiza la pobreza de las familias campesinas de la región. … Sostenibilidad y pobreza en las unidades socioeconómicas …,"JA Bautista, AA Antonio-Jose… - Agricultura, sociedad y …, 2017 - scielo.org.mx","{'summary': 'JA Bautista, AA Antonio-Jose… - Agricultura, sociedad y …, 2017 - scielo.org.mx'}",2022-03-17 11:12:18 UTC,mezcal pobreza oaxaca
Estrategias de producción y mercadotecnia del mezcal en Oaxaca,https://www.redalyc.org/pdf/325/32514811.pdf,"Este ensayo analiza desde la perspectiva de la nueva ruralidad y la territorialidad, las estrategias de producción y mercadotecnia y el sistema productivo del mezcal en Oaxaca; con el …","JA Bautista, ET Melchor - El Cotidiano, 2008 - redalyc.org","{'summary': 'JA Bautista, ET Melchor - El Cotidiano, 2008 - redalyc.org'}",2022-03-17 11:12:18 UTC,mezcal pobreza oaxaca
Diagnóstico de la situación del agave-mezcal y opciones de desarrollo local en comunidades indígenas de Oaxaca,http://ru.iiec.unam.mx/3385/,"… utilizado para la producción de mezcal artesanal en el estado de Oaxaca. … En la producción de mezcal en el Estado de Oaxaca, se utilizan diversas especies de agave, …","JY López Cruz, GA Martínez Gutiérrez… - 2016 - ru.iiec.unam.mx","{'summary': 'JY López Cruz, GA Martínez Gutiérrez… - 2016 - ru.iiec.unam.mx'}",2022-03-17 11:12:18 UTC,mezcal pobreza oaxaca
Oaxaca y sus regiones productoras de mezcal: Un análisis desde cadenas globales de valor,https://www.revistas.una.ac.cr/index.php/perspectivasrurales/article/view/9286,"… De acuerdo con el índice de rezago social (IRS), por medio del cual se intenta medir la pobreza y que incorpora indicadores de educación, de acceso a servicios de salud, de servicios …","NVV Vera, PP Akaki - Perspectivas Rurales Nueva Época, 2017 - revistas.una.ac.cr","{'summary': 'NVV Vera, PP Akaki - Perspectivas Rurales Nueva Época, 2017 - revistas.una.ac.cr', 'authors': [{'name': 'PP Akaki', 'link': 'https://scholar.google.com/citations?user=lGSrAxQAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=lGSrAxQAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'lGSrAxQAAAAJ'}]}",2022-03-17 11:12:18 UTC,mezcal pobreza oaxaca
"La disminución de la producción artesanal de mezcal en la Región del mezcal de Oaxaca, México",http://www.scielo.org.mx/scielo.php?pid=S2007-09342015000600012&script=sci_abstract&tlng=pt,"… of mezcal in the ""region of mezcal"" (RM) of Oaxaca we are … with the demand for mezcal maguey Angustifolia Haw by the … of traditional technology of making mezcal, the decline and …","JA Bautista, S Orozco Cirilo… - Revista mexicana de …, 2015 - scielo.org.mx","{'summary': 'JA Bautista, S Orozco Cirilo… - Revista mexicana de …, 2015 - scielo.org.mx'}",2022-03-17 11:12:18 UTC,mezcal pobreza oaxaca
"EL MEZCAL ARTESANAL, UN ELEMENTO CLAVE PARA EL DESARROLLO RURAL EN MENGOLÍ DE MORELOS, OAXACA",https://www.eumed.net/actas/19/economia-social/6-el-mezcal-artesanal-un-elemento-clave-para-el-desarrollo-rural-en-mengoli-de-morelos-oaxaca.pdf,"… de la comunidad de Mengolí de Morelos, Oaxaca, quienes se encontraban en una situación económica precaria debido a que el mezcal no tenía el prestigio y la demanda que ha …",MSR Cortés - 2019 - eumed.net,{'summary': 'MSR Cortés - 2019 - eumed.net'},2022-03-17 11:12:18 UTC,mezcal pobreza oaxaca
cadenas globales de valor y denominación de origen mezcal en oaxaca,http://www.eco.buap.mx/publicaciones/libros/dinamicas_productivas_alimentacion_y_politicas.pdf#page=36,"… pobreza de 66.8% de su población total (INEGI, 2016) y su grado de marginación es muy alto (CONAPO, 2010). En Oaxaca, la elaboración de Mezcal … y oler los mezcales, como deben …",NVV Vera - … DISPUTAS SOCIO-TERRITORIALES Y VIOLENCIA EN … - eco.buap.mx,{'summary': 'NVV Vera - … DISPUTAS SOCIO-TERRITORIALES Y VIOLENCIA EN … - eco.buap.mx'},2022-03-17 11:12:18 UTC,mezcal pobreza oaxaca
Oaxaca: La Actividad Productiva Maguey–Mezcal,https://www.academia.edu/download/48182450/OAXACA_LA_PRODUCTIVIDAD_DEL_MAGUEY.pdf,"… de la existencia de otros documentos que se han escrito relacionados con la siembra y cultivo del maguey mezcalero, así como en lo que se refiere con la producción del mezcal, sin …","B Barbosa, M Enrique - Santiago Matatlán, Oaxaca: s/d editoriales, 2009 - academia.edu","{'summary': 'B Barbosa, M Enrique - Santiago Matatlán, Oaxaca: s/d editoriales, 2009 - academia.edu'}",2022-03-17 11:12:18 UTC,mezcal pobreza oaxaca
