Title,Link,Snippet,Summary,Info,Processed,Query
"Agricultura y pluriactividad de los pequeños productores de agave en la región del mezcal, Oaxaca, México",http://www.scielo.org.mx/scielo.php?pid=S0568-25172008000400007&script=sci_arttext,"… de los ingresos económicos en condiciones de pobreza y pluriactividad. Se sostiene que el medio … La agricultura en la región del mezcal, sustentada en la producción de agave y en …","JA Bautista, J Ramírez Juarez - Agricultura técnica en México, 2008 - scielo.org.mx","{'summary': 'JA Bautista, J Ramírez Juarez - Agricultura técnica en México, 2008 - scielo.org.mx'}",2022-03-17 11:03:27 UTC,mezcal pobreza
"Evaluación financiera de producción de agave y mezcal: caso de estudio Caltepec, Puebla",https://dialnet.unirioja.es/servlet/articulo?codigo=7845332,"… exportaciones de mezcal crecieron a … pobreza y vive de la agricultura. En este sentido, es necesario analizar las oportunidades que pudiera generar la producción de agave y mezcal, …","MF Varela, LEC Tovar - Revista mexicana de ciencias agrícolas, 2021 - dialnet.unirioja.es","{'summary': 'MF Varela, LEC Tovar - Revista mexicana de ciencias agrícolas, 2021 - dialnet.unirioja.es'}",2022-03-17 11:03:27 UTC,mezcal pobreza
"Sustentabilidad y agricultura en la"" región del mezcal"" de Oaxaca",http://www.scielo.org.mx/scielo.php?pid=S2007-09342012000100001&script=sci_arttext,"… de agave y mezcal, aportando 75%de la producción nacional. En la ""región del mezcal"" el … Sostenibilidad y pobreza en las unidades socioeconómicas campesinas de la ""Región del …","JA Bautista, MA Smit - Revista mexicana de ciencias agrícolas, 2012 - scielo.org.mx","{'summary': 'JA Bautista, MA Smit - Revista mexicana de ciencias agrícolas, 2012 - scielo.org.mx', 'authors': [{'name': 'MA Smit', 'link': 'https://scholar.google.com/citations?user=C7PhklgAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=C7PhklgAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'C7PhklgAAAAJ'}]}",2022-03-17 11:03:27 UTC,mezcal pobreza
"Efectos socioeconómicos y ambientales de la sobreproducción de maguey mezcalero en la región del mezcal de Oaxaca, México",http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-54722017000400635,… (Agave angustifolia Haw) en la Región del Mezcal de Oaxaca por la expansión de su siembra … disminución de ingresos que agudiza la pobreza de las familias campesinas de la región. …,"JA Bautista, AA Antonio-Jose… - Agricultura, sociedad y …, 2017 - scielo.org.mx","{'summary': 'JA Bautista, AA Antonio-Jose… - Agricultura, sociedad y …, 2017 - scielo.org.mx'}",2022-03-17 11:03:27 UTC,mezcal pobreza
La industria informal del mezcal bacanora,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-45572009000100006,"… en la economía serrana y la pérdida de dinamismo de sus actividades económicas tradicionales, han impulsado un permanente incremento en los índices regionales de pobreza y una …","V Salazar Solano, A Mungaray Lagarda - … sociales (Hermosillo, Son.), 2009 - scielo.org.mx","{'summary': 'V Salazar Solano, A Mungaray Lagarda - … sociales (Hermosillo, Son.), 2009 - scielo.org.mx', 'authors': [{'name': 'V Salazar Solano', 'link': 'https://scholar.google.com/citations?user=0r8Dkz4AAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=0r8Dkz4AAAAJ&engine=google_scholar_author&hl=es', 'author_id': '0r8Dkz4AAAAJ'}, {'name': 'A Mungaray Lagarda', 'link': 'https://scholar.google.com/citations?user=TnrV2xUAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=TnrV2xUAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'TnrV2xUAAAAJ'}]}",2022-03-17 11:03:27 UTC,mezcal pobreza
Diagnóstico de la situación del agave-mezcal y opciones de desarrollo local en comunidades indígenas de Oaxaca,http://ru.iiec.unam.mx/3385/,"… México, es un área regional que presenta diferentes condiciones de desigualdad y pobreza… En la producción de mezcal en el Estado de Oaxaca, se utilizan diversas especies de agave…","JY López Cruz, GA Martínez Gutiérrez… - 2016 - ru.iiec.unam.mx","{'summary': 'JY López Cruz, GA Martínez Gutiérrez… - 2016 - ru.iiec.unam.mx'}",2022-03-17 11:03:27 UTC,mezcal pobreza
MEZCAL DE CAMPANILLA,"https://www.academia.edu/download/64106999/PARTE%20II%20MEZCAL%20DE%20CAMPANILLA,%20Patrimonio%20Cultural%20Inmaterial%20del%20Estado%20de%20SLP.%2029%20julio.pdf","… hace 150 años, cuando era el mezcal “que producen los pobres” de San Luis Potosí, en el … muchos, o todos, los productores pobres de mezcal los que utilizaban este sistema en todo …",II Parte - academia.edu,{'summary': 'II Parte - academia.edu'},2022-03-17 11:03:27 UTC,mezcal pobreza
cadenas globales de valor y denominación de origen mezcal en oaxaca,http://www.eco.buap.mx/publicaciones/libros/dinamicas_productivas_alimentacion_y_politicas.pdf#page=36,"… de la Industria del Mezcal con el objetivo de procurar el mejoramiento de la industria productora de agave y destilación de la bebida alcohólica denominada “Mezcal”, así como elevar …",NVV Vera - … DISPUTAS SOCIO-TERRITORIALES Y VIOLENCIA EN … - eco.buap.mx,{'summary': 'NVV Vera - … DISPUTAS SOCIO-TERRITORIALES Y VIOLENCIA EN … - eco.buap.mx'},2022-03-17 11:03:27 UTC,mezcal pobreza
MEZCAL MICHOACANO: DE SU ORIGEN A SUS ESTRATEGIAS DE COMERCIALIZACIÓN. UNA APROXIMACIÓN,https://www.researchgate.net/profile/Jorge-Restrepo-Morales/publication/270903848_MODELING_OF_THE_RISKS_IN_SUPPLY_LOGISTICS_CASE_STUDY_INVENTORY_MANAGEMENT_IN_A_TRADING_COMPANY/links/595063a2a6fdccebfa69f402/MODELING-OF-THE-RISKS-IN-SUPPLY-LOGISTICS-CASE-STUDY-INVENTORY-MANAGEMENT-IN-A-TRADING-COMPANY.pdf#page=1393,"… pobreza, como lo es el caso de Tzitzio que cuenta con un 85% de su población en pobreza. … se pretendía ayudar a los productores de mezcal a generar mayores ingresos al vender sus …","VH Silva, YC García - IJMMR, 2015 - researchgate.net","{'summary': 'VH Silva, YC García - IJMMR, 2015 - researchgate.net'}",2022-03-17 11:03:27 UTC,mezcal pobreza
Oaxaca: La Actividad Productiva Maguey–Mezcal,https://www.academia.edu/download/48182450/OAXACA_LA_PRODUCTIVIDAD_DEL_MAGUEY.pdf,"… de la existencia de otros documentos que se han escrito relacionados con la siembra y cultivo del maguey mezcalero, así como en lo que se refiere con la producción del mezcal, sin …","B Barbosa, M Enrique - Santiago Matatlán, Oaxaca: s/d editoriales, 2009 - academia.edu","{'summary': 'B Barbosa, M Enrique - Santiago Matatlán, Oaxaca: s/d editoriales, 2009 - academia.edu'}",2022-03-17 11:03:27 UTC,mezcal pobreza
