Title,Link,Snippet,Summary,Info,Processed,Query
"La disminución de la producción artesanal de mezcal en la Región del mezcal de Oaxaca, México",http://www.scielo.org.mx/scielo.php?pid=S2007-09342015000600012&script=sci_abstract&tlng=pt,"… of mezcal in the ""region of mezcal"" (RM) of Oaxaca we are … with the demand for mezcal maguey Angustifolia Haw by the … of traditional technology of making mezcal, the decline and …","JA Bautista, S Orozco Cirilo… - Revista mexicana de …, 2015 - scielo.org.mx","{'summary': 'JA Bautista, S Orozco Cirilo… - Revista mexicana de …, 2015 - scielo.org.mx'}",2022-03-18 02:28:13 UTC,mezcal poverty oaxaca
"Environmental strategy and competitive advantage in Mezcal businesses in Oaxaca, Mexico",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3241805,"… Strategic capability at the base of the pyramid focuses on people’s poverty in developing countries (Hart and Dowell, 2011). The poverty and marginalization context in which mezcal …","I García-Román, PS Sánchez-Medina… - … of Management and …, 2018 - papers.ssrn.com","{'summary': 'I García-Román, PS Sánchez-Medina… - … of Management and …, 2018 - papers.ssrn.com'}",2022-03-18 02:28:13 UTC,mezcal poverty oaxaca
Oaxaca y sus regiones productoras de mezcal: Un análisis desde cadenas globales de valor,https://www.revistas.una.ac.cr/index.php/perspectivasrurales/article/view/9286,"… Oaxaca’s territory is characterized by high biodiversity of agaves, it is also the headquarters of the Regulatory Council of Mezcal (… producing regions of mezcal of Oaxaca state, following …","NVV Vera, PP Akaki - Perspectivas Rurales Nueva Época, 2017 - revistas.una.ac.cr","{'summary': 'NVV Vera, PP Akaki - Perspectivas Rurales Nueva Época, 2017 - revistas.una.ac.cr', 'authors': [{'name': 'PP Akaki', 'link': 'https://scholar.google.com/citations?user=lGSrAxQAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=lGSrAxQAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'lGSrAxQAAAAJ'}]}",2022-03-18 02:28:13 UTC,mezcal poverty oaxaca
Mezcal and mexicanness: the symbolic and social connotations of drinking in Oaxaca,https://www.ceeol.com/search/article-detail?id=279683,"Summary/Abstract: This article discusses the symbolic and social connotations of mezcal and its consumption in the rural communities of Oaxaca in Southern Mexico. Mezcal, a …","T Gross - Folklore: Electronic Journal of Folklore, 2014 - ceeol.com","{'summary': 'T Gross - Folklore: Electronic Journal of Folklore, 2014 - ceeol.com'}",2022-03-18 02:28:13 UTC,mezcal poverty oaxaca
Sustentabilidad y agricultura en la “región del mezcal” de Oaxaca* Sustainability and agriculture in the “mezcal region” of Oaxaca,https://pdfs.semanticscholar.org/fbad/dc036b925bd407a4522847584f8c012fb7cf.pdf,"Este estudio analiza los sistemas agrícolas en laderas y en valles, desarrollados por productores campesinos de agave mezcalero Angustifolia Haw. Se realizó en la “región del mezcal…","JA Bautista, MA Smit - pdfs.semanticscholar.org","{'summary': 'JA Bautista, MA Smit - pdfs.semanticscholar.org', 'authors': [{'name': 'MA Smit', 'link': 'https://scholar.google.com/citations?user=C7PhklgAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=C7PhklgAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'C7PhklgAAAAJ'}]}",2022-03-18 02:28:13 UTC,mezcal poverty oaxaca
"… de la producción artesanal de mezcal en la Región del mezcal de Oaxaca, México* The decline of craft production of mezcal in the Region of mezcal in Oaxaca …",https://pdfs.semanticscholar.org/7c90/a7f380847ececeb7eff6db66b37265ec6e45.pdf,"… of mezcal in the ""region of mezcal"" (RM) of Oaxaca we are … with the demand for mezcal maguey Angustifolia Haw by the … of traditional technology of making mezcal, the decline and …","JA Bautista, SO Cirilo, ET Melchor - pdfs.semanticscholar.org","{'summary': 'JA Bautista, SO Cirilo, ET Melchor - pdfs.semanticscholar.org'}",2022-03-18 02:28:13 UTC,mezcal poverty oaxaca
El sistema de gestión ambiental informal y la ventaja competitiva en costos de diferenciación y crecimiento empresarial de los negocios de mezcal de Oaxaca,http://148.204.117.30/jspui/handle/LITER_CIIDIROAX/435,"… En este estudio, nos enfocamos en el contexto de los negocios de mezcal de Oaxaca, un sector poco estudiando en el aspecto ambiental y en México, un país con un potencial …",M González Cruz - 2019 - 148.204.117.30,{'summary': 'M González Cruz - 2019 - 148.204.117.30'},2022-03-18 02:28:13 UTC,mezcal poverty oaxaca
"Socioeconomic and environmental effects of overproduction of maguey mezcalero in the mezcal region of Oaxaca, México",http://www.scielo.org.mx/scielo.php?pid=S1870-54722017000400635&script=sci_arttext&tlng=en,"… (Agave angustifolia Haw) in the Mezcal Region of Oaxaca from the expansion of its cultivation … , and the decrease in income that worsen the poverty of peasant families in the region. …","JA Bautista, AA Antonio-Jose… - Agricultura, sociedad y …, 2017 - scielo.org.mx","{'summary': 'JA Bautista, AA Antonio-Jose… - Agricultura, sociedad y …, 2017 - scielo.org.mx'}",2022-03-18 02:28:13 UTC,mezcal poverty oaxaca
"Commons, global markets and small-scale family enterprises: the case of mezcal production in Oaxaca, Mexico",https://link.springer.com/article/10.1007/s10460-021-10293-z,"… More broadly in Oaxaca, growth in the mezcal industry has created an estimated 19,000 … In Oaxaca, Mexico, mezcal production has traditionally been organized as a family activity …","MG Lira, JP Robson, DJ Klooster - Agriculture and Human Values, 2022 - Springer","{'summary': 'MG Lira, JP Robson, DJ Klooster - Agriculture and Human Values, 2022 - Springer', 'authors': [{'name': 'JP Robson', 'link': 'https://scholar.google.com/citations?user=zVk3YZAAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=zVk3YZAAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'zVk3YZAAAAAJ'}]}",2022-03-18 02:28:13 UTC,mezcal poverty oaxaca
"Basket weavers and producers of mezcal in Mexico: the importance of rural industry in the livelihood strategy of households in the Valley of Tlacolula, Oaxaca.",https://www.cabdirect.org/cabdirect/abstract/19906709638,"… Foreign Title : Mandenvlechters en mezcalstokers in Mexico: het belang van rurale nijverheid in de bestaansstrategie van huishoudens in de Tlacolula Vallei, Oaxaca. …","PCJ Druijven - … of households in the Valley of Tlacolula, Oaxaca., 1990 - cabdirect.org","{'summary': 'PCJ Druijven - … of households in the Valley of Tlacolula, Oaxaca., 1990 - cabdirect.org'}",2022-03-18 02:28:13 UTC,mezcal poverty oaxaca
