Title,Link,Snippet,Summary,Info,Processed,Query
"Environmental strategy and competitive advantage in Mezcal businesses in Oaxaca, Mexico",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3241805,"… With all the changes that have occurred in the mezcal business, … ’s poverty in developing countries (Hart and Dowell, 2011). The poverty and marginalization context in which mezcal …","I García-Román, PS Sánchez-Medina… - … of Management and …, 2018 - papers.ssrn.com","{'summary': 'I García-Román, PS Sánchez-Medina… - … of Management and …, 2018 - papers.ssrn.com'}",2022-03-18 02:20:17 UTC,mezcal poverty
Quando l'architettura non basta: sviluppo turistico per la riduzione della povertà: la Ruta del Mezcal,https://webthesis.biblio.polito.it/3558/,"… per le strategie di poverty reductione che trasforma i membri … una delle tipicità locali, il Mezcal, noto distillato di agave, … miglioramento del sistema maguey-mezcal , con la creazione di …",M Ciavaglia - 2014 - webthesis.biblio.polito.it,{'summary': 'M Ciavaglia - 2014 - webthesis.biblio.polito.it'},2022-03-18 02:20:17 UTC,mezcal poverty
"Socioeconomic and environmental effects of overproduction of maguey mezcalero in the mezcal region of Oaxaca, México",http://www.scielo.org.mx/scielo.php?pid=S1870-54722017000400635&script=sci_arttext&tlng=en,"… mezcalero (Agave angustifolia Haw) in the Mezcal Region of Oaxaca from the expansion of its … , and the decrease in income that worsen the poverty of peasant families in the region. …","JA Bautista, AA Antonio-Jose… - Agricultura, sociedad y …, 2017 - scielo.org.mx","{'summary': 'JA Bautista, AA Antonio-Jose… - Agricultura, sociedad y …, 2017 - scielo.org.mx'}",2022-03-18 02:20:17 UTC,mezcal poverty
Mezcal: When Culture and Consumption Collide,https://www.pdcnet.org/iabsproc/content/iabsproc_2020_0031_0120_0128,"… , Berta’s mezcal was one of several sought after by a new generation of mezcal drinkers. Not … Berta learned that the people who were really enjoying her mezcal were from the United …","TC Salinas - Proceedings of the International Association for …, 2020 - pdcnet.org","{'summary': 'TC Salinas - Proceedings of the International Association for …, 2020 - pdcnet.org'}",2022-03-18 02:20:17 UTC,mezcal poverty
"… opportunities based on SECI model: Reconfiguring knowledge dynamics of the agricultural artisan production of agave-mezcal, using emerging technologies",https://www.emerald.com/insight/content/doi/10.1108/JKM-01-2020-0078/full/html,… of agave-mezcal through SECI … mezcal," the proposal of innovation opportunities for reconfiguring the knowledge interaction dynamics of the agricultural artisan production … CLF Torres, LA Olvera-Vargas, JS Gómez… - Journal of Knowledge …, 2020 – emerald.com","{'summary': 'CLF Torres, LA Olvera-Vargas, JS Gómez… - Journal of Knowledge …, 2020 - emerald.com', 'authors': [{'name': 'LA Olvera-Vargas', 'link': 'https://scholar.google.com/citations?user=WS8yL9kAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=WS8yL9kAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'WS8yL9kAAAAJ'}, {'name': 'JS Gómez', 'link': 'https://scholar.google.com/citations?user=WFWi4t0AAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=WFWi4t0AAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'WFWi4t0AAAAJ'}]}",2022-03-18 02:20:17 UTC,mezcal poverty
"La disminución de la producción artesanal de mezcal en la Región del mezcal de Oaxaca, México",http://www.scielo.org.mx/scielo.php?pid=S2007-09342015000600012&script=sci_abstract&tlng=pt,"… artesanal de mezcal en Matatlán, … de mezcal, de los cuales se aplicó una entrevista a profundidad a 12 productores campesinos zapotecas que aún elaboran artesanalmente el mezcal. …","JA Bautista, S Orozco Cirilo… - Revista mexicana de …, 2015 - scielo.org.mx","{'summary': 'JA Bautista, S Orozco Cirilo… - Revista mexicana de …, 2015 - scielo.org.mx'}",2022-03-18 02:20:17 UTC,mezcal poverty
Appellation of origin status and economic development: a case study of the Mezcal industry,https://ageconsearch.umn.edu/record/93346/,"… Mezcal is produced in areas with high levels of poverty, where most of the producers are organized as cooperatives. In addition, access to legal, financing, and market information was …","CO Trejo-Pech, C Lopez-Reyna… - International Food …, 2010 - ageconsearch.umn.edu","{'summary': 'CO Trejo-Pech, C Lopez-Reyna… - International Food …, 2010 - ageconsearch.umn.edu', 'authors': [{'name': 'CO Trejo-Pech', 'link': 'https://scholar.google.com/citations?user=RNe3WWEAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=RNe3WWEAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'RNe3WWEAAAAJ'}]}",2022-03-18 02:20:17 UTC,mezcal poverty
Mezcal and mexicanness: the symbolic and social connotations of drinking in Oaxaca,https://www.ceeol.com/search/article-detail?id=279683,"This article discusses the symbolic and social connotations of mezcal and its consumption in the rural communities of Oaxaca in Southern Mexico. Mezcal, a traditional drink in this …","T Gross - Folklore: Electronic Journal of Folklore, 2014 - ceeol.com","{'summary': 'T Gross - Folklore: Electronic Journal of Folklore, 2014 - ceeol.com'}",2022-03-18 02:20:17 UTC,mezcal poverty
"… campesinas en situación de pobreza en Oaxaca, Guerrero y Chiapas* Market linkages and competitiveness of farming units in poverty in Oaxaca, Guerrero …",https://www.academia.edu/download/46567039/RODRIGUEZ_ET_AL_VINCULACION_MERCADO_2016.pdf,"… of goods causes dissatisfaction of needs and that is called poverty of needs, hence the concern of those … If we consider that a weak market share is related directly to greater poverty and …","R Rodríguez-Hernández, M Morales-Guerra… - academia.edu","{'summary': 'R Rodríguez-Hernández, M Morales-Guerra… - academia.edu'}",2022-03-18 02:20:17 UTC,mezcal poverty
The mezcal rush: Explorations in agave country,https://books.google.com/books?hl=es&lr=&id=OOAREAAAQBAJ&oi=fnd&pg=PT6&dq=mezcal+poverty&ots=8vyxqH3GvY&sig=pFQDPZBEfNRwPV_58KTmv9_xALE,"… At least 45 percent of Mexicans live in poverty. The three southern states of Oaxaca, Chiapas, and Guerrero are the poorest, with poverty rates of over 70 percent, and extreme poverty at …",G Greene - 2017 - books.google.com,{'summary': 'G Greene - 2017 - books.google.com'},2022-03-18 02:20:17 UTC,mezcal poverty
Oaxaca y sus regiones productoras de mezcal: Un análisis desde cadenas globales de valor,https://www.revistas.una.ac.cr/index.php/perspectivasrurales/article/view/9286,"… Among the highlights is the AO Mezcal (AOM) for being the … headquarters of the Regulatory Council of Mezcal (CRM in Spanish) … in three producing regions of mezcal of Oaxaca state, …","NVV Vera, PP Akaki - Perspectivas Rurales Nueva Época, 2017 - revistas.una.ac.cr","{'summary': 'NVV Vera, PP Akaki - Perspectivas Rurales Nueva Época, 2017 - revistas.una.ac.cr', 'authors': [{'name': 'PP Akaki', 'link': 'https://scholar.google.com/citations?user=lGSrAxQAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=lGSrAxQAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'lGSrAxQAAAAJ'}]}",2022-03-18 02:20:17 UTC,mezcal poverty
"Viabilidad del agave como alternativa para controlar la desertificación de la microcuenca Laguna de Guadalupe, Gto.",http://ri.uaq.mx/handle/123456789/261,"… para la fabricación de mezcal, inulina, jarabe, fibras, etc. En el caso del mezcal el municipio donde se ubica la microcuenca posee una denominación de origen mezcal, la cual ha sido …",A Mandujano Bueno - 2013 - ri.uaq.mx,"{'summary': 'A Mandujano Bueno - 2013 - ri.uaq.mx', 'authors': [{'name': 'A Mandujano Bueno', 'link': 'https://scholar.google.com/citations?user=4dgHi44AAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=4dgHi44AAAAJ&engine=google_scholar_author&hl=es', 'author_id': '4dgHi44AAAAJ'}]}",2022-03-18 02:20:17 UTC,mezcal poverty
"Divided spirits: Tequila, mezcal, and the politics of production",https://books.google.com/books?hl=es&lr=&id=_7owDwAAQBAJ&oi=fnd&pg=PR9&dq=mezcal+poverty&ots=G18PxaEVmG&sig=A2lkvcKjuWZNziGKdRoFxCKgdZo,"… Tequila and mezcal are both protected by denominations of origin (DOs), legal designations … mezcal for generations. The consequences—for the quality and taste of tequila and mezcal, …",S Bowen - 2015 - books.google.com,"{'summary': 'S Bowen - 2015 - books.google.com', 'authors': [{'name': 'S Bowen', 'link': 'https://scholar.google.com/citations?user=P0mLtJgAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=P0mLtJgAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'P0mLtJgAAAAJ'}]}",2022-03-18 02:20:17 UTC,mezcal poverty
"… de la producción artesanal de mezcal en la Región del mezcal de Oaxaca, México* The decline of craft production of mezcal in the Region of mezcal in Oaxaca …",https://pdfs.semanticscholar.org/7c90/a7f380847ececeb7eff6db66b37265ec6e45.pdf,"… artesanal de mezcal en Matatlán, … de mezcal, de los cuales se aplicó una entrevista a profundidad a 12 productores campesinos zapotecas que aún elaboran artesanalmente el mezcal. …","JA Bautista, SO Cirilo, ET Melchor - pdfs.semanticscholar.org","{'summary': 'JA Bautista, SO Cirilo, ET Melchor - pdfs.semanticscholar.org'}",2022-03-18 02:20:17 UTC,mezcal poverty
Mexican agrifood geographical indications: between productivity and sustainability,https://acsd2016.cirad.fr/content/download/4317/32688/version/1/file/Book+of+abstracts.pdf#page=54,"… Mezcal, they have a limited benefit to farmers, key players in the agri-chain. As the case of Tequila and Mezcal, … chains of goods with GI: no poverty, decent work and economic growth, …","P Perez-Akaki - Le Corum, Montpellier-France, 2016 - acsd2016.cirad.fr","{'summary': 'P Perez-Akaki - Le Corum, Montpellier-France, 2016 - acsd2016.cirad.fr', 'authors': [{'name': 'P Perez-Akaki', 'link': 'https://scholar.google.com/citations?user=lGSrAxQAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=lGSrAxQAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'lGSrAxQAAAAJ'}]}",2022-03-18 02:20:17 UTC,mezcal poverty
"… in the United Kingdom. Her research interests in the area of tourism focus on Inca heritage, social inclusion, and the reproduction of poverty, particularly in the south …",https://books.google.com/books?hl=es&lr=&id=ziclDwAAQBAJ&oi=fnd&pg=PR9&dq=mezcal+poverty&ots=GNivp43tkf&sig=NYRXkNjKixOkJNtjToZigEGut24,"… inclusion, and the reproduction of poverty, particularly in the south Andean region of Peru. … Her current work explores the globalization of Oaxacan mezcal as well as the development …","L Bourdeau - World Heritage Sites and Tourism: Global and …, 2016 - books.google.com","{'summary': 'L Bourdeau - World Heritage Sites and Tourism: Global and …, 2016 - books.google.com'}",2022-03-18 02:20:17 UTC,mezcal poverty
El sistema de gestión ambiental informal y la ventaja competitiva en costos de diferenciación y crecimiento empresarial de los negocios de mezcal de Oaxaca,http://148.204.117.30/jspui/handle/LITER_CIIDIROAX/435,"… Mezcal (CRM) la producción nacional de mezcal ha incrementado en los últimos años, en el año 2011 la producción de mezcal … es el principal productor de mezcal a nivel nacional, en …",M González Cruz - 2019 - 148.204.117.30,{'summary': 'M González Cruz - 2019 - 148.204.117.30'},2022-03-18 02:20:17 UTC,mezcal poverty
"Traditional farming technology in the production of mezcal in the south of Jalisco, Mexico.",https://www.cabdirect.org/cabdirect/abstract/20113276948,"Traditional farming technology in the production of mezcal in the south of Jalisco, Mexico. … Foreign Title : Tecnología agrícola tradicional en la producción de vino mezcal (mezcal y …","D Zizumbo-Villarreal… - Revista de Geografia …, 2009 - cabdirect.org","{'summary': 'D Zizumbo-Villarreal… - Revista de Geografia …, 2009 - cabdirect.org'}",2022-03-18 02:20:17 UTC,mezcal poverty
"Basket weavers and producers of mezcal in Mexico: the importance of rural industry in the livelihood strategy of households in the Valley of Tlacolula, Oaxaca.",https://www.cabdirect.org/cabdirect/abstract/19906709638,Basket weavers and producers of mezcal in Mexico: the importance of rural industry in the … see more details of mezcal. It is argued that rural industrializationindustrializationSubject …,"PCJ Druijven - … weavers and producers of mezcal in Mexico: the …, 1990 - cabdirect.org","{'summary': 'PCJ Druijven - … weavers and producers of mezcal in Mexico: the …, 1990 - cabdirect.org'}",2022-03-18 02:20:17 UTC,mezcal poverty
Aromatic volatile compounds generated during mezcal production from Agave angustifolia and Agave potatorum.,https://www.cabdirect.org/cabdirect/abstract/20103157302,"… durante la elaboración de mezcal de Agave angustifolia y Agave potatorum. … mezcal from A. angustifolia had higher quantities of methanol, alcohols and acetic acid than the mezcal …","G Vera, G Santiago, MG López - Revista Fitotecnia Mexicana, 2009 - cabdirect.org","{'summary': 'G Vera, G Santiago, MG López - Revista Fitotecnia Mexicana, 2009 - cabdirect.org', 'authors': [{'name': 'G Santiago', 'link': 'https://scholar.google.com/citations?user=3syePVUAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=3syePVUAAAAJ&engine=google_scholar_author&hl=es', 'author_id': '3syePVUAAAAJ'}, {'name': 'MG López', 'link': 'https://scholar.google.com/citations?user=WfDFBeIAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=WfDFBeIAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'WfDFBeIAAAAJ'}]}",2022-03-18 02:20:17 UTC,mezcal poverty
The geographical indication of mezcal in Mexico: A tool of exclusion for small producers,https://library.oapen.org/bitstream/handle/20.500.12657/46918/9780429895135.pdf?sequence=1#page=188,"… Following a discussion of how the Mezcal DO was designed, we will illustrate the effects of … and process Mezcal; representatives from the municipal authorities; officials from the Mezcal …","MC Renard, DRD Arista - Geographical Indication and Global Agri …, 2019 - library.oapen.org","{'summary': 'MC Renard, DRD Arista - Geographical Indication and Global Agri …, 2019 - library.oapen.org'}",2022-03-18 02:20:17 UTC,mezcal poverty
ALIANZAS ESTRATÉGICAS PARA ALCANZAR EL PRECEPTO “UN SOLO BIENESTAR”[STRATEGIC ALLIANCES TO ACHIEVE THE “ONE WELFARE” …,https://www.researchgate.net/profile/Jose-Jimenez-74/publication/341600196_Bolos_intraruminales_Una_estrategia_de_suplementacion_mineral_en_rumiantes/links/5ec97d1ca6fdcc90d6938f21/Bolos-intraruminales-Una-estrategia-de-suplementacion-mineral-en-rumiantes.pdf#page=95,"… The situation of poverty is a multifactorial phenomenon, … La producción de mezcal en los Valles Centrales de Oaxaca … Aunado a ello, la producción de mezcal genera impactos poco …",LR Gabriel - Asociación Mexicana para la Producción Animal y … - researchgate.net,{'summary': 'LR Gabriel - Asociación Mexicana para la Producción Animal y … - researchgate.net'},2022-03-18 02:20:17 UTC,mezcal poverty
"Color and turgidity retention of the mezcal worm, Comadia redtenbacheri, in bottled mezcal.",https://www.cabdirect.org/cabdirect/abstract/20163329407,… color y de la turgencia del gusano rojo Comadia redtenbacheri para mezcal embotellado. … a high commercial value for the mezcalmezcalSubject Category: Commodities and Products …,"E Millan-Mercado, C Llanderal-Cazares… - Southwestern …, 2016 - cabdirect.org","{'summary': 'E Millan-Mercado, C Llanderal-Cazares… - Southwestern …, 2016 - cabdirect.org'}",2022-03-18 02:20:17 UTC,mezcal poverty
"Commons, global markets and small-scale family enterprises: the case of mezcal production in Oaxaca, Mexico",https://link.springer.com/article/10.1007/s10460-021-10293-z,"… of mezcal production—an alcoholic beverage made from agave—in an Indigenous community in Oaxaca, Mexico. Most mezcal … ) necessary for making mezcal are held communally and …","MG Lira, JP Robson, DJ Klooster - Agriculture and Human Values, 2022 - Springer","{'summary': 'MG Lira, JP Robson, DJ Klooster - Agriculture and Human Values, 2022 - Springer', 'authors': [{'name': 'JP Robson', 'link': 'https://scholar.google.com/citations?user=zVk3YZAAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=zVk3YZAAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'zVk3YZAAAAAJ'}]}",2022-03-18 02:20:17 UTC,mezcal poverty
Design of a recirculating water cooling system for distilling mezcal.,https://www.cabdirect.org/cabdirect/abstract/20133364526,… Abstract : This paper describes a recirculating cooling system for water used in the process of mezcal [a distilled alcoholic beverage made from Agave americanaagave americana…,"M Caballero Caballero, L Silva Santos… - Revista Mexicana de …, 2012 - cabdirect.org","{'summary': 'M Caballero Caballero, L Silva Santos… - Revista Mexicana de …, 2012 - cabdirect.org'}",2022-03-18 02:20:17 UTC,mezcal poverty
A Taste for Agave: the Emerging Practices and Politics of Mezcal Connoisseurship,https://books.google.com/books?hl=es&lr=&id=4Fl-DwAAQBAJ&oi=fnd&pg=PA83&dq=mezcal+poverty&ots=zjZP6FSpX9&sig=jw82-2fUi92F93Amte1ZmvHPz6Q,"Descriptions like this one of Wahaka’s liquor are becoming more common as Mexican mezcal, … That Mexican mezcal is now characterized in this fashion indicates that it has entered a …","RL Brulotte - Taste, Politics, and Identities in Mexican Food, 2019 - books.google.com","{'summary': 'RL Brulotte - Taste, Politics, and Identities in Mexican Food, 2019 - books.google.com'}",2022-03-18 02:20:17 UTC,mezcal poverty
Mezcal,https://www.degruyter.com/document/doi/10.7560/320242-002/html,"… mezcal. She never lifts off the chair, and her black dress hangs solid as metal around her. Suddenly a gallon jug appears and we pay. The amphetamines and the mezcal … of mezcal and …",C Bowden - 2022 - degruyter.com,{'summary': 'C Bowden - 2022 - degruyter.com'},2022-03-18 02:20:17 UTC,mezcal poverty
Traditional mezcal production in Zapotitlán de Vadillo,https://link.springer.com/chapter/10.1007/978-3-319-73945-8_8,… Lucio analyzes the production of mezcal with traditional … It is centered on a group of families who produce mezcal using … standards for the marketing of mezcal operate against small-…,"C Lucio - Social Environmental Conflicts in Mexico, 2018 - Springer","{'summary': 'C Lucio - Social Environmental Conflicts in Mexico, 2018 - Springer'}",2022-03-18 02:20:17 UTC,mezcal poverty
The social and economic impact of agave waste utilization in Mexican liquor industries,http://uest.ntua.gr/naxos2018/proceedings/pdf/NAXOS2018_ViniegraGonzalez_etal.pdf,"… compensate inefficiency with higher final selling prices, since mezcal and bacanora can be … problem to distribute the wealth to alleviate poverty in the arid regions of Mexico, where …","G Viniegra-González, V del Rio-Guerra… - uest.ntua.gr","{'summary': 'G Viniegra-González, V del Rio-Guerra… - uest.ntua.gr', 'authors': [{'name': 'G Viniegra-González', 'link': 'https://scholar.google.com/citations?user=wCgg7mkAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=wCgg7mkAAAAJ&engine=google_scholar_author&hl=es', 'author_id': 'wCgg7mkAAAAJ'}]}",2022-03-18 02:20:17 UTC,mezcal poverty
10 The geographical indication of mezcal in Mexico,https://books.google.com/books?hl=es&lr=&id=W0yfDwAAQBAJ&oi=fnd&pg=PT160&dq=mezcal+poverty&ots=lg_Jnzhu4X&sig=DoqaxRjQ2zFgudiZFgwYcsgsxtk,"… volume) and employing the case of the DO for Mezcal in Mexico, this chapter discusses the … Following a discussion of how the Mezcal DO was designed, we will illustrate the effects of …","MC Renard, DRD Arista - Geographical Indication and Global …, 2019 - books.google.com","{'summary': 'MC Renard, DRD Arista - Geographical Indication and Global …, 2019 - books.google.com'}",2022-03-18 02:20:17 UTC,mezcal poverty
Rethinking Mezcal: A New Materialist Approach,https://edepot.wur.nl/458525,"… people, their livelihoods, their poverty and their knowledge were being … mezcal; the recently industrialized mezcal and, on the other hand, the long-standing, artisanal smallscale mezcal. …",MG Medina - 2018 - edepot.wur.nl,{'summary': 'MG Medina - 2018 - edepot.wur.nl'},2022-03-18 02:20:17 UTC,mezcal poverty
"Poutine, Mezcal and Hard Cider: The Making of Culinary Identities in North America",https://search.proquest.com/openview/cc4f82e5c0bceff9b937791090006f43/1?pq-origsite=gscholar&cbl=18750,"… The Case of Mezcal, draws upon the recent major update to the mezcal … This tour de force in the modification of the mezcal DO leads … Through the case of mezcal, I assert that the tasting …",N Fabien-Ouellet - 2017 - search.proquest.com,"{'summary': 'N Fabien-Ouellet - 2017 - search.proquest.com', 'authors': [{'name': 'N Fabien-Ouellet', 'link': 'https://scholar.google.com/citations?user=_P2-V48AAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=_P2-V48AAAAJ&engine=google_scholar_author&hl=es', 'author_id': '_P2-V48AAAAJ'}]}",2022-03-18 02:20:17 UTC,mezcal poverty
"Market linkages and competitiveness of farming units in poverty in Oaxaca, Guerrero and Chiapas",http://www.scielo.org.mx/scielo.php?pid=S2007-09342016001103115&script=sci_arttext&tlng=en,"… percentages of population in poverty, agriculture is the … poverty and marginalization. It was observed that the greater market linkages exist, greater competitiveness so to reverse poverty …","R Rodríguez-Hernández, M Morales-Guerra… - Revista mexicana de …, 2016 - scielo.org.mx","{'summary': 'R Rodríguez-Hernández, M Morales-Guerra… - Revista mexicana de …, 2016 - scielo.org.mx'}",2022-03-18 02:20:17 UTC,mezcal poverty
"Women, forests and markets: researching poverty alleviation through commercialisation of forest resources in Mexico and Bolivia",https://www.researchgate.net/profile/Elaine-Marshall/publication/252000059_Women_forests_and_markets_researching_poverty_alleviation_through_commercialisation_of_forest_resources_in_Mexico_and_Bolivia/links/54e5af7a0cf29865c33757c0/Women-forests-and-markets-researching-poverty-alleviation-through-commercialisation-of-forest-resources-in-Mexico-and-Bolivia.pdf,"… Timber Forest Products (NTFPs), and poverty alleviation and gender equality, in Mexico and … It acknowledges that for poverty reduction to be effective, the many varied and important …","E Marshall, K Schreckenberg - 2002 - researchgate.net","{'summary': 'E Marshall, K Schreckenberg - 2002 - researchgate.net', 'authors': [{'name': 'K Schreckenberg', 'link': 'https://scholar.google.com/citations?user=3qqH7-MAAAAJ&hl=es&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=3qqH7-MAAAAJ&engine=google_scholar_author&hl=es', 'author_id': '3qqH7-MAAAAJ'}]}",2022-03-18 02:20:17 UTC,mezcal poverty
